фамилия,имя,отчество,номер,электронная почта,адрес,дата рождения,ссылка на телеграмм,количество покупок за месяц,ИНН,почтовый индекс,количество времени проведенного на сайте,пол,количество отзывов,количество комментариев
Лобанов,Кондратий,,89298738453.0,,"д. Змеиногорск, ш. Подлесное, д. 57 стр. 479, 402843",1952-09-02,https://t.me/mamontovavde,24.0,,563164.0,15:42:35,m,,61.0
,,,78169980325.0,vladimir_1981@example.net,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,https://t.me/angelina2002,,952613095418.0,563164.0,8:47:52,,20.0,91.0
Ефимова,,,,cmihalov@example.org,"д. Тырныауз, наб. Проезжая, д. 2/1 к. 89, 552281",,,30.0,952613095418.0,,19:48:19,m,53.0,91.0
,Митофан,Федотович,71617522710.0,,,,,24.0,,,6:54:2,m,,95.0
Денисов,,Даниилович,,,,,,24.0,,,8:47:52,m,,84.0
,Аскольд,Даниилович,84893220058.0,cmihalov@example.org,"к. Северо-Курильск, наб. Прудная, д. 27 к. 6, 808279",,https://t.me/georgi46,24.0,952613095418.0,563164.0,9:36:33,,53.0,91.0
,Устин,Георгиевич,76217058505.0,cmihalov@example.org,"д. Вологда, пр. Студенческий, д. 8/8 к. 21, 986173",,,24.0,952613095418.0,563164.0,,,,
Колесникова,,,,,"д. Плес, ш. Малиновое, д. 52 стр. 108, 160832",1980-05-24,,24.0,,,,m,,91.0
,Павел,Даниилович,,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1980-05-24,https://t.me/dobromisl2016,24.0,952613095418.0,563164.0,4:35:3,,,91.0
Тихонов,,,87636315829.0,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1980-05-24,,,,777334.0,8:47:52,m,,86.0
,Куприян,,,vladlen2002@example.org,"с. Нефедова, алл. Покровская, д. 240 стр. 542, 627954",1931-12-14,https://t.me/gorde_81,,952613095418.0,,8:47:52,m,53.0,50.0
Мухина,Марк,,,,"п. Охотск, ул. Приморская, д. 33, 056739",1980-05-24,,24.0,707785724961.0,,,m,,
Игнатова,,,88666127781.0,ysemenov@example.com,,,https://t.me/tihon2023,30.0,952613095418.0,,,,53.0,23.0
Суворова,,,71617522710.0,cmihalov@example.org,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1957-11-14,,24.0,,,,,97.0,91.0
Сергеев,Богдан,,89853616486.0,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,https://t.me/tihon2023,24.0,,563164.0,,,,
Лобанов,Леонид,Даниилович,81779030391.0,cmihalov@example.org,,1995-07-14,,35.0,,,,,47.0,
Михайлова,Милан,Даниилович,71617522710.0,vladimir98@example.com,,,,44.0,774735136747.0,563164.0,,m,11.0,91.0
,Викентий,Даниилович,80654864955.0,,"клх Истра, ул. Инженерная, д. 38 к. 70, 087757",,,24.0,,563164.0,8:47:52,m,53.0,
,Митофан,,,,"п. Канск, алл. Кольцова, д. 614 стр. 67, 344914",,,,952613095418.0,563164.0,11:14:54,m,76.0,
,Любовь,,84370647465.0,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1980-05-24,,,,563164.0,,m,72.0,
,Лонгин,,,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1988-06-10,,,554508846007.0,563164.0,,m,90.0,91.0
,Влас,Даниилович,,,"клх Санкт-Петербург, наб. Гайдара, д. 7/5, 503787",,https://t.me/znazarova,24.0,952613095418.0,,14:57:27,,,
Беляев,,,86061947322.0,mjasnikovaevdokija@example.com,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1947-08-23,https://t.me/tihon2023,24.0,,563164.0,,m,98.0,
Евсеев,Аверкий,,75696203045.0,,,,https://t.me/tihon2023,,886630212890.0,,,m,53.0,
Кузнецова,,,,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1975-09-08,https://t.me/tihon2023,,,,8:47:52,m,1.0,
Родионов,Константин,Даниилович,,belousovfeoktist@example.org,"г. Белогорск (Амур.), пер. Школьный, д. 815 стр. 1, 001803",,,,952613095418.0,,8:47:52,m,69.0,
Щербаков,,Даниилович,71343376932.0,,,,,24.0,,563164.0,,,,91.0
,Вацлав,,82104680071.0,viktor_93@example.org,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1997-05-10,https://t.me/fedoseevinnokenti,,,563164.0,,m,53.0,91.0
Лобанов,,,83034650075.0,cmihalov@example.org,"г. Звенигород, бул. Горняцкий, д. 798 стр. 2, 375151",,https://t.me/isakovafaina,,952613095418.0,563164.0,12:48:35,,73.0,91.0
,,,72956558291.0,tarasguljaev@example.net,,,https://t.me/tihon2023,24.0,,,22:5:26,,73.0,
Харитонов,Евгений,,71617522710.0,gavrila2003@example.org,,1980-05-24,,,614177721416.0,,,m,53.0,
,Ян,Даниилович,,julian95@example.net,,2008-11-24,https://t.me/sidorovstepan,,952613095418.0,563164.0,8:47:52,,,
,,,71617522710.0,litkinolimpi@example.com,,,,,,563164.0,,,29.0,
,Каллистрат,,,cmihalov@example.org,"клх Ивдель, пер. Харьковский, д. 20, 508178",1987-11-21,https://t.me/tihon2023,,338357073157.0,,4:30:40,m,49.0,
Гуляева,,,,,,2008-06-17,,24.0,952613095418.0,,,m,,77.0
,Ермил,Даниилович,,,"г. Тихвин, ул. Л.Толстого, д. 390, 617145",,https://t.me/konon65,,952613095418.0,,8:47:52,,81.0,91.0
,,,74893413306.0,aksenovamaja@example.com,"ст. Бреды, ш. ДОС, д. 59 стр. 372, 417194",1945-05-03,,24.0,825627367387.0,,,m,,91.0
Лобанова,Иосиф,Афанасьевич,,anisimovgerasim@example.com,"клх Джейрах, пр. Маяковского, д. 433, 158305",,,,420073846087.0,,0:48:31,f,,
,,,,,,1999-11-11,,,,,,m,,91.0
Лобанов,Пимен,,,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1946-11-10,https://t.me/gusevsemen,24.0,,6506.0,,,,
Васильева,,,71617522710.0,,,1945-08-18,https://t.me/fomichevkonon,,952613095418.0,,,,,91.0
Кудряшов,Митофан,,,cmihalov@example.org,"к. Домбай, ул. Кузнецкая, д. 418 к. 6, 908167",1980-05-24,https://t.me/karpovarkadi,24.0,,205260.0,,,,91.0
Веселов,,Даниилович,71617522710.0,,,,https://t.me/tihon2023,18.0,952613095418.0,,,m,53.0,91.0
Лобанов,Валентина,Даниилович,77594316537.0,,,,,,,563164.0,6:18:52,,,36.0
,,,71617522710.0,,"к. Радужный, пр. Карла Либкнехта, д. 4 стр. 59, 182182",,,,,,8:47:52,m,53.0,
Сидоров,,,,,,1980-05-24,,,763123350586.0,,,,,91.0
Филиппов,Макар,Харлампович,71617522710.0,miroslav_79@example.org,"с. Челюскин, пер. Гайдара, д. 8, 055738",1967-07-20,https://t.me/tihon2023,,952613095418.0,563164.0,8:47:52,,86.0,91.0
Козлов,Никифор,,71617522710.0,semenvinogradov@example.net,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,https://t.me/tihon2023,24.0,,563164.0,13:42:16,m,,
Щукин,Дорофей,,84425607246.0,vseslav2003@example.com,,,https://t.me/tihon2023,,952613095418.0,563164.0,,f,,30.0
Давыдова,,,,,,,,,,455514.0,,,53.0,82.0
Титов,,,70945918595.0,trofimovamarfa@example.org,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1975-02-13,,,,,8:47:52,,53.0,91.0
,,,,ljubim_1976@example.org,,1966-07-28,,25.0,952613095418.0,,8:47:52,,,
Шубин,,,77642665446.0,,,1950-05-27,,24.0,952613095418.0,563164.0,11:7:20,m,53.0,91.0
,Селиван,,71617522710.0,cmihalov@example.org,"к. Магас, пер. Сенной, д. 33 стр. 4, 325759",,,,952613095418.0,116686.0,8:47:52,m,,55.0
,,,,fkovaleva@example.org,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",2002-10-02,https://t.me/tihon2023,,,,8:47:52,m,,91.0
Воробьев,Ким,,74477243354.0,,"г. Забайкальск, алл. Водников, д. 690 стр. 10, 556548",,,18.0,793042110867.0,563164.0,4:48:14,m,,
Тимофеева,Елизар,,80206126788.0,pavel_37@example.net,,1935-04-01,https://t.me/tihon2023,,,,,m,30.0,91.0
Щербакова,Георгий,Даниилович,75085599295.0,,,1956-10-08,https://t.me/signateva,24.0,189045831898.0,563164.0,,f,29.0,
Макарова,Никандр,Даниилович,85637834198.0,cmihalov@example.org,"п. Колпашево, наб. Полевая, д. 925 к. 8, 322678",1930-08-03,https://t.me/tihon2023,24.0,952613095418.0,478704.0,,,,
,Венедикт,,,nesterovaraisa@example.com,"ст. Гремячинск (Перм.), ул. Тюленина, д. 919 стр. 77, 555871",,,24.0,848087201855.0,,,m,91.0,
,Глафира,Константиновна,86461282332.0,natan_48@example.com,"п. Архангельск, пер. Трактовый, д. 6/8 к. 6, 195665",,https://t.me/tihon2023,24.0,952613095418.0,563164.0,,,65.0,91.0
Шарова,,Даниилович,,,"г. Сухиничи, ул. Лунная, д. 1/9 к. 8/1, 625106",,,24.0,968482944030.0,,8:47:52,f,,38.0
Николаева,Лидия,,83173242756.0,,,2006-02-26,https://t.me/tihon2023,,976627767153.0,,,,20.0,
,Митофан,Даниилович,88516699403.0,gleb_1980@example.net,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,https://t.me/nkazakova,,,563164.0,,m,53.0,91.0
,,,,,"ст. Партизанск, пр. Свободный, д. 892 к. 82, 338795",1993-12-16,https://t.me/tihon2023,24.0,952613095418.0,,,m,65.0,91.0
Корнилова,Митофан,,72848119858.0,cmihalov@example.org,,1980-05-24,https://t.me/jborisov,,952613095418.0,563164.0,,m,,
Зыкова,,,81108884315.0,cmihalov@example.org,"г. Малая Вишера, ш. Алтайское, д. 7/8, 023714",,https://t.me/kvorontsova,24.0,952613095418.0,,22:3:7,m,93.0,
,Мирослав,,86415068217.0,vatslav_1985@example.net,,1970-03-18,https://t.me/tihon2023,24.0,,,8:47:52,,22.0,
,Устин,,,cmihalov@example.org,"д. Ковров, бул. Локомотивный, д. 7/2 стр. 2/8, 722232",,https://t.me/loginovagap,,,563164.0,,m,,
Федорова,Митофан,,71617522710.0,emil2024@example.org,"к. Кириши, ш. Нижнее, д. 89, 719040",,https://t.me/tihon2023,24.0,952613095418.0,563164.0,8:47:52,,45.0,91.0
,Рубен,,71617522710.0,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,,24.0,,563164.0,11:6:32,m,,
,,Станиславовна,,,"д. Старая Русса, пр. Фестивальный, д. 293 стр. 9, 504018",2006-09-27,,,952613095418.0,563164.0,,f,,91.0
,,,75634636531.0,,,1935-11-07,,,,563164.0,8:47:52,m,58.0,
,Филарет,Даниилович,,,,1994-01-13,https://t.me/tretjakovkondrat,24.0,952613095418.0,885837.0,8:47:52,,,
,Куприян,,,,,,https://t.me/tihon2023,,,,8:47:52,,,
Белоусова,Пантелеймон,Даниилович,,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,https://t.me/tihon2023,24.0,,563164.0,,m,53.0,
Лобанов,,Даниилович,71617522710.0,,"к. Южноуральск, ш. Подстанция, д. 35 стр. 8, 680945",,https://t.me/tihon2023,24.0,459702699434.0,563164.0,,,,
,Мартьян,Гавриилович,87619160421.0,aksenovborislav@example.com,,,https://t.me/tihon2023,24.0,952613095418.0,,8:47:52,f,53.0,
,,,,,"ст. Выборг, пр. Космодемьянской, д. 143 к. 9/5, 271422",1980-05-24,,48.0,952613095418.0,,10:49:26,f,53.0,91.0
,Пелагея,Даниилович,74980990423.0,,,,,39.0,952613095418.0,563164.0,,,53.0,91.0
Романова,,Даниилович,,,,,https://t.me/tihon2023,29.0,477765854124.0,563164.0,,m,53.0,
,Елисей,,,cmihalov@example.org,,,https://t.me/tihon2023,,952613095418.0,563164.0,,,,91.0
,Эраст,,79441071774.0,blinovmitofan@example.net,"г. Москва, МГУ, алл. Молодежная, д. 6, 805161",,,,952613095418.0,563164.0,,,56.0,
Гущина,,,87681331574.0,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1990-02-10,,24.0,,,,,,91.0
,Митофан,Даниилович,88964416225.0,zaharovprokl@example.com,"клх Таганрог, ул. Чехова, д. 9/9, 018333",1993-04-02,https://t.me/tihon2023,,900067982312.0,563164.0,1:55:5,m,,
Зуев,,Даниилович,,,,1942-06-11,https://t.me/hristoforlavrentev,24.0,952613095418.0,,,m,,
,Митофан,Степановна,,,,,https://t.me/tihon2023,24.0,952613095418.0,563164.0,8:47:52,,,
Михайлова,,,74554407893.0,valerija_2022@example.org,,1980-05-24,https://t.me/tihon2023,24.0,,,,m,73.0,
,Ярополк,,88159969744.0,cmihalov@example.org,"к. Нефтекамск, пр. Приозерный, д. 451 к. 946, 975364",,https://t.me/tihon2023,24.0,952613095418.0,,22:43:36,,,91.0
Шилова,Исидор,Даниилович,,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,,24.0,952613095418.0,,9:48:30,m,53.0,
Филатов,Осип,Даниилович,,,"п. Каменномостский, пер. Ключевой, д. 2, 522709",1966-03-02,https://t.me/tihon2023,,952613095418.0,563164.0,8:47:52,,,
Красильникова,Феофан,,,cmihalov@example.org,,,https://t.me/tihon2023,24.0,859419441095.0,563164.0,,m,53.0,91.0
Муравьев,Доброслав,Даниилович,88110254044.0,,,,,24.0,101003316768.0,563164.0,,,,
,Зиновий,Даниилович,,,"к. Енисейск, ш. Краснопартизанское, д. 74, 645501",1974-01-12,https://t.me/dkazakova,,952613095418.0,,8:47:52,,33.0,
Лобанов,,Даниилович,87975760695.0,,"к. Голицыно, наб. Степана Разина, д. 7 стр. 609, 076975",,https://t.me/tihon2023,,,,23:32:18,,,91.0
Королева,Харитон,,78993631315.0,denisovaekaterina@example.org,,,,49.0,,,,m,94.0,
,Афиноген,Даниилович,,viktor85@example.com,,1980-05-24,https://t.me/tihon2023,24.0,,,,,75.0,
Логинов,Авдей,,,,,1931-07-09,https://t.me/ysuhanov,24.0,,,8:47:52,m,53.0,
,Иларион,Изотович,71617522710.0,cmihalov@example.org,"п. Корсаков, пер. Красноярский, д. 6 к. 5/1, 314571",,,24.0,,563164.0,8:47:52,,53.0,91.0
,Онуфрий,,,,,,https://t.me/provrodionov,,,617554.0,,,,91.0
Логинова,,Даниилович,72930142193.0,cmihalov@example.org,"г. Красновишерск, пр. Васильковый, д. 4/7 стр. 856, 589912",1948-05-22,https://t.me/tihon2023,,,,8:21:12,m,,
Лобанов,Гордей,,,,"д. Оленек, алл. Набережная, д. 20 стр. 419, 461883",,,24.0,952613095418.0,563164.0,,m,49.0,
,Игорь,,,cmihalov@example.org,,1962-03-14,https://t.me/izotdmitriev,24.0,952613095418.0,,,,,91.0
,,Даниилович,89993761398.0,galkinefrem@example.net,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1980-05-24,,,373257064453.0,,5:23:47,,,91.0
,,Даниилович,71617522710.0,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1980-05-24,https://t.me/zosima1970,24.0,,563164.0,,,53.0,
,,Августович,71617522710.0,,,,,8.0,,,,,53.0,
Рогова,Виктор,Даниилович,,cmihalov@example.org,,1997-04-12,,24.0,,563164.0,,m,,91.0
,,,71617522710.0,aristarh56@example.com,"к. Соболево, алл. Ульяновская, д. 68 стр. 8/7, 632317",2003-08-16,https://t.me/tihon2023,,952613095418.0,563164.0,8:47:52,m,,
Александрова,,,71617522710.0,,,1986-04-27,,,508348159679.0,1306.0,8:47:52,m,53.0,91.0
Меркушева,,,73088407977.0,kovalevdemjan@example.com,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,https://t.me/tihon2023,,173234485043.0,,15:18:19,f,,91.0
Громова,,,73931679548.0,,,1980-05-24,https://t.me/tihon2023,24.0,,563164.0,8:47:52,m,,91.0
Ершова,,,,,,,,24.0,,563164.0,,m,,
Горшков,,,,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,https://t.me/egor_95,,,,11:59:37,,,
Лобанов,Митофан,Даниилович,,jshchukin@example.net,,1980-05-24,,,952613095418.0,338544.0,8:47:52,,53.0,91.0
,,Даниилович,,ermola_2008@example.org,,1971-11-17,,24.0,,,,,67.0,
,Виктория,,89462129521.0,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,https://t.me/tihon2023,24.0,952613095418.0,,20:0:36,,,
Уварова,Амос,Даниилович,,,,,https://t.me/cbobileva,24.0,952613095418.0,,,,53.0,
Осипов,Владимир,,86562610387.0,nsavina@example.com,"д. Новый Уренгой, бул. Гвардейский, д. 33 стр. 7, 596525",,,39.0,,,8:47:52,,,
Сафонов,Мефодий,Даниилович,76118166456.0,marina2016@example.net,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1980-05-24,,24.0,,563164.0,8:47:52,f,83.0,91.0
,,Даниилович,,borisovaviktorija@example.com,,1980-05-24,https://t.me/tihon2023,0.0,952613095418.0,982215.0,,m,,
,Митофан,,73423822743.0,,"п. Сочи, наб. Школьная, д. 1/8, 380162",,,24.0,952613095418.0,,8:47:52,,38.0,
,,,,cmihalov@example.org,"г. Пушкино (Моск.), алл. Березовая, д. 78 стр. 5, 982620",1950-05-16,,24.0,952613095418.0,563164.0,8:47:52,,,97.0
,,,71617522710.0,davidovboris@example.net,,1980-05-24,https://t.me/gerasimovazhanna,,,,,,53.0,91.0
,,,,rostislav_1975@example.net,,,,,952613095418.0,124385.0,,m,,91.0
,Юлиан,,87178922414.0,fedotovpanfil@example.com,"г. Листвянка (Иркут.), пер. Главный, д. 9/3 к. 92, 435164",,https://t.me/djachkovdemid,24.0,,563164.0,8:47:52,m,,91.0
,Всемил,Даниилович,,pahomkulikov@example.net,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,,,952613095418.0,563164.0,14:22:32,m,,91.0
Лобанова,Митофан,,87893765656.0,innokentibeljakov@example.net,,,https://t.me/snosov,,952613095418.0,563164.0,,m,53.0,91.0
Сафонова,Митофан,,87290412920.0,,,1980-05-24,https://t.me/tihon2023,,,,,,,
,Селиверст,Даниилович,71617522710.0,kotovpahom@example.net,,1980-05-24,,,,563164.0,,m,15.0,91.0
,,Даниилович,,,,2000-07-05,,24.0,952613095418.0,,3:7:46,m,,91.0
,Адриан,Даниилович,86018277489.0,,,1961-07-11,https://t.me/tihon2023,,,563164.0,,,,
,,,71617522710.0,,"п. Псебай, ул. Кольцова, д. 63, 061370",,,,952613095418.0,563164.0,,,37.0,11.0
,,,,arefi37@example.net,,1980-05-24,https://t.me/valeri_2021,,952613095418.0,563164.0,,,,91.0
,,Даниилович,,,,,https://t.me/tihon2023,,952613095418.0,563164.0,14:7:17,m,42.0,
,,Даниилович,,cmihalov@example.org,,,,,952613095418.0,563164.0,,,,65.0
,Нонна,Даниилович,80904174438.0,semenovradovan@example.com,"д. Темрюк, ш. Севастопольское, д. 570, 343618",1950-01-19,https://t.me/tihon2023,,952613095418.0,,,,53.0,
Федоров,Леон,,88750793364.0,,,,,24.0,952613095418.0,,8:47:52,,53.0,
Богданов,Максимильян,Даниилович,,,,1980-05-24,,24.0,282267895097.0,,,m,,91.0
Петухов,Глафира,,,kuprijan1998@example.org,,1978-07-05,,24.0,952613095418.0,,19:39:22,m,,
Кудряшова,,Даниилович,85567050580.0,miron_1977@example.com,,1973-04-25,,,952613095418.0,,20:51:43,,53.0,91.0
,,,89623938290.0,cmihalov@example.org,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,https://t.me/borislav26,24.0,748655039841.0,,7:36:22,,53.0,91.0
,Эмилия,,,,,,https://t.me/guri91,24.0,952613095418.0,563164.0,19:56:43,f,55.0,91.0
Кузьмин,,Даниилович,,,"с. Каргасок, ш. Енисейское, д. 367 стр. 6/8, 933395",1980-05-24,,,952613095418.0,563164.0,,m,53.0,
,,Даниилович,82917264554.0,kirillovapelageja@example.org,,,https://t.me/valentinzhdanov,24.0,952613095418.0,,8:47:52,,53.0,
Жданов,,Даниилович,75379834749.0,arsenirusakov@example.com,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1935-06-23,https://t.me/tihon2023,24.0,311579066197.0,563164.0,8:47:52,,,8.0
Лобанов,,,,firs53@example.com,"с. Чегем, алл. Марта 8, д. 26, 917211",1977-06-22,,,952613095418.0,928616.0,6:44:47,,53.0,91.0
Потапов,,,83536638955.0,kovalevapollinari@example.net,"ст. Биробиджан, ул. Халтурина, д. 9/4, 190698",1980-05-24,,,79727680375.0,,,,,91.0
,Евсей,Даниилович,73024457646.0,gordeevpanfil@example.net,"г. Геленджик, пер. Чкалова, д. 822 стр. 55, 015850",1955-07-26,,,,563164.0,3:10:57,m,,71.0
Стрелкова,Христофор,,71320467109.0,andre2024@example.com,,,https://t.me/tihon2023,31.0,952613095418.0,563164.0,7:25:54,,53.0,91.0
,Мартьян,,,haritonpoljakov@example.net,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,,24.0,952613095418.0,,,f,53.0,
Бурова,Сильвестр,,77846588096.0,isaevmihail@example.com,,,,24.0,,563164.0,,,,
Зыков,,,,,"г. Кировск (Ленин.), алл. Л.Толстого, д. 7 стр. 5, 324139",,https://t.me/tihon2023,24.0,952613095418.0,563164.0,,f,,
,,Даниилович,,cmihalov@example.org,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",2007-12-08,,,,,8:47:52,m,53.0,
,Митофан,Даниилович,,filimon_06@example.org,"д. Юрьев-Польский, бул. Труда, д. 97 стр. 2, 262094",,https://t.me/mishinavarvara,,,563164.0,,m,31.0,
Крылова,Демид,,,,,,,24.0,,,,m,53.0,91.0
Афанасьева,Всеслав,Даниилович,71617522710.0,,"п. Завьялиха, пр. Рылеева, д. 7, 791723",,,24.0,,,8:47:52,m,53.0,91.0
Селиверстов,Марина,,,lukjan00@example.org,"клх Бомнак, алл. Зеленая, д. 832 к. 8/8, 325416",1980-05-24,https://t.me/tihon2023,24.0,952613095418.0,,,m,47.0,91.0
,Антип,Даниилович,,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1980-05-24,,24.0,952613095418.0,563164.0,21:52:2,m,,
,,,83430804966.0,vadim1986@example.org,,,https://t.me/tihon2023,24.0,952613095418.0,563164.0,22:58:44,m,53.0,
Федорова,,,,rjurik_2021@example.net,,1978-12-24,https://t.me/grusakova,,952613095418.0,,8:47:52,,,91.0
Мухин,,,73347851347.0,kimkazakov@example.net,,,https://t.me/tihon2023,,952613095418.0,563164.0,,,,
Ширяева,Аникита,Давыдович,76120360428.0,zchernova@example.net,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1950-12-03,https://t.me/afanasi_2006,24.0,952613095418.0,,8:47:52,m,53.0,91.0
,,Даниилович,74039472811.0,,,1966-05-17,,,952613095418.0,,,m,,91.0
Гордеев,,Даниилович,,,"д. Одинцово, ш. Свободное, д. 129 к. 20, 772106",,,,,563164.0,,,59.0,91.0
,,Даниилович,71334037593.0,antonin1989@example.org,"п. Вытегра, пр. 40 лет Победы, д. 981 стр. 935, 936557",,,,,,22:27:45,,62.0,91.0
Коновалова,,,87931166460.0,,,,https://t.me/tihon2023,,,563164.0,,m,53.0,91.0
,,,71617522710.0,uljanfedotov@example.com,,1980-05-24,,5.0,,,8:47:52,m,53.0,
,,Даниилович,,,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1980-05-24,,,952613095418.0,563164.0,9:55:36,,5.0,91.0
,,Даниилович,84659733456.0,mkomissarova@example.org,"г. Гремячинск (Бурят.), бул. Кирова, д. 8/8 стр. 878, 536233",,https://t.me/tihon2023,24.0,952613095418.0,563164.0,11:34:48,,,
Киселев,Всемил,,,,,,,,,,8:47:52,f,16.0,
,,,74529743135.0,ivanovevgraf@example.net,,,,,,563164.0,19:23:29,f,,91.0
Ильин,Митофан,,81603702043.0,,,1962-11-01,https://t.me/kolobovaalla,,,,8:47:52,m,38.0,
Герасимов,,Даниилович,83267615546.0,ija_79@example.com,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,https://t.me/tihon2023,24.0,952613095418.0,563164.0,7:20:21,f,,16.0
Зимин,Митофан,,71617522710.0,litkinsavva@example.net,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1980-05-24,,,952613095418.0,,,m,12.0,
Харитонова,,Богдановна,86271095477.0,antipkapustin@example.org,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1980-05-24,https://t.me/tihon2023,,952613095418.0,563164.0,,,,
,,,,uvarovvsevolod@example.org,,1947-07-15,,24.0,,430748.0,7:52:12,m,53.0,91.0
,,Даниилович,,emilija_1988@example.net,"г. Верещагино (Перм.), алл. Пархоменко, д. 7, 883477",1965-10-17,https://t.me/budimir94,24.0,952613095418.0,445966.0,8:47:52,,80.0,
,Андрей,,,birjukovanaina@example.net,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1980-08-08,,,952613095418.0,,8:47:52,m,48.0,54.0
,,,,lazar19@example.net,,1937-02-25,https://t.me/tihon2023,,952613095418.0,,,m,,
Жуков,,Даниилович,71617522710.0,vasilevazhanna@example.com,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1980-05-24,,9.0,952613095418.0,563164.0,8:47:52,,,
Панфилов,,Даниилович,82678077302.0,,"п. Грозный, ул. Привокзальная, д. 19 стр. 7/7, 585426",2006-05-07,,24.0,887175370398.0,563164.0,18:47:52,,53.0,76.0
Зыкова,,,,lukinkarl@example.com,,,https://t.me/panisimov,,,,,f,,
Кошелева,Терентий,,76153982464.0,ljubomirsmirnov@example.net,"к. Петропавловск-Камчатский, алл. Николаева, д. 3 стр. 11, 115474",,https://t.me/kira_74,,952613095418.0,,8:47:52,m,,
,Митофан,Даниилович,,,,1980-05-24,https://t.me/oleg_91,,952613095418.0,,8:47:52,m,,91.0
,,,,cmihalov@example.org,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",,https://t.me/tihon2023,24.0,,563164.0,,m,53.0,
,,Даниилович,,tamara_25@example.net,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1971-02-14,,24.0,,,21:34:27,,53.0,74.0
,,,,,,,https://t.me/tihon2023,24.0,952613095418.0,563164.0,5:27:51,f,53.0,
Лобанов,Октябрина,,,,,1983-09-27,https://t.me/tihon2023,24.0,197314458220.0,,8:47:52,m,,
,,Яковлевна,74707978880.0,,,,,,952613095418.0,563164.0,,,,91.0
Чернов,Ираида,,81856597450.0,,,,https://t.me/tihon2023,24.0,,,,f,,91.0
,Прокл,,87352397363.0,,,,,24.0,,,,m,53.0,
Никонов,Митофан,,,cmihalov@example.org,,1965-06-09,,,,540665.0,2:52:16,,,91.0
Красильников,Митофан,,85712809368.0,zbobrova@example.net,"ст. Агата, ш. Труда, д. 96 стр. 6, 904729",,,25.0,952613095418.0,563164.0,,m,,91.0
,,,78729638698.0,safonovevse@example.com,,2010-05-15,,,952613095418.0,,,,,
Орлов,Богдан,Богдановна,86361147036.0,,,1980-05-24,,,,563164.0,,,43.0,
Воронцов,,,72095569779.0,cmihalov@example.org,"с. Вуктыл, ш. Полевое, д. 376 к. 58, 348411",1980-08-04,,24.0,952613095418.0,,,m,53.0,37.0
Сафонова,,Даниилович,86034026195.0,,"п. Ярославль, ул. Геологическая, д. 5/7 к. 7/3, 770129",,,,952613095418.0,803826.0,,m,53.0,91.0
,,,71617522710.0,zoja_29@example.com,"ст. Сладково, наб. Панфилова, д. 4 к. 9/4, 258661",1987-10-21,https://t.me/tihon2023,,952613095418.0,,23:45:53,,,28.0
